Hechos_Id,Víctima_Id,Acusado_Id,Rol_Id,Sexo_Id,Edad
2016-0001,1,1,1,1,19
2016-0002,2,2,1,1,70
2016-0003,1,1,1,1,30
2016-0004,1,0,1,1,18
2016-0005,1,2,1,1,29
2016-0008,1,4,1,1,30
2016-0009,1,1,2,1,29
2016-0010,1,1,1,1,18
2016-0012,1,5,1,1,22
2016-0013,3,1,3,1,16
2016-0015,3,1,3,2,16
2016-0016,1,1,2,2,19
2016-0017,3,6,3,1,59
2016-0019,3,2,3,2,65
2016-0020,3,1,3,1,59
2016-0021,2,1,1,1,34
2016-0022,1,1,2,1,41
2016-0025,2,1,2,1,34
2016-0026,2,4,1,1,30
2016-0027,2,1,2,1,34
2016-0028,3,5,3,1,50
2016-0029,3,2,3,1,38
2016-0031,1,2,1,1,21
2016-0034,3,2,3,1,52
2016-0035,1,2,1,1,34
2016-0036,1,2,2,1,36
2016-0037,1,6,1,1,20
2016-0038,3,2,3,1,29
2016-0039,1,2,1,1,20
2016-0041,1,5,1,1,54
2016-0041,1,5,2,1,53
2016-0043,3,5,3,2,56
2016-0044,1,7,1,1,24
2016-0045,1,0,1,1,16
2016-0047,3,2,3,1,41
2016-0048,3,2,3,2,73
2016-0049,0,0,1,1,62
2016-0050,3,2,3,1,78
2016-0051,1,5,1,1,36
2016-0052,1,0,1,1,22
2016-0053,3,2,3,1,38
2016-0054,1,6,1,1,30
2016-0055,3,5,3,1,79
2016-0056,1,4,1,1,26
2016-0058,3,6,3,2,57
2016-0059,3,2,3,1,37
2016-0064,3,2,3,1,20
2016-0065,3,1,3,1,20
2016-0067,1,2,2,2,30
2016-0068,1,2,1,1,58
2016-0069,2,5,1,1,30
2016-0073,1,5,1,1,23
2016-0074,2,1,1,1,60
2016-0075,3,1,3,1,42
2016-0076,3,2,3,2,53
2016-0077,3,2,3,2,76
2016-0078,1,6,1,1,30
2016-0079,2,1,1,2,51
2016-0080,2,0,1,1,60
2016-0081,1,1,1,1,40
2016-0082,3,1,3,1,87
2016-0083,3,6,3,2,76
2016-0084,3,2,3,1,57
2016-0085,1,8,1,1,76
2016-0086,3,2,3,1,75
2016-0087,1,4,1,1,23
2016-0088,3,1,3,2,70
2016-0089,3,1,3,1,35
2016-0090,3,2,3,1,60
2016-0092,1,5,1,1,24
2016-0093,2,1,1,1,35
2016-0095,1,1,1,1,29
2016-0096,1,5,1,1,25
2016-0097,3,1,3,1,80
2016-0098,1,5,1,2,43
2016-0099,5,5,1,1,45
2016-0100,1,4,1,1,57
2016-0101,0,0,1,1,67
2016-0102,1,5,1,1,29
2016-0104,1,2,1,1,21
2016-0105,3,2,3,1,19
2016-0106,3,2,3,1,38
2016-0107,1,1,1,1,21
2016-0109,2,4,1,2,53
2016-0110,3,0,3,1,57
2016-0111,1,5,1,1,27
2016-0112,1,4,1,1,24
2016-0113,3,2,3,2,60
2016-0114,6,5,4,2,55
2016-0115,0,5,1,1,4
2016-0116,1,1,1,1,30
2016-0117,2,1,1,1,43
2016-0118,2,1,1,1,27
2016-0119,0,0,2,2,23
2016-0122,6,2,4,1,49
2016-0123,1,1,1,2,58
2016-0124,3,2,3,1,67
2016-0125,1,6,1,1,30
2016-0126,2,5,1,1,37
2016-0126,2,5,2,1,60
2016-0127,3,2,3,1,50
2016-0128,3,2,3,2,81
2016-0130,1,5,1,1,29
2016-0131,3,1,3,1,35
2016-0132,2,2,2,1,30
2016-0133,1,1,1,1,41
2016-0134,1,4,1,1,25
2016-0135,3,0,3,1,29
2016-0136,1,5,1,1,54
2016-0137,1,6,1,1,30
2016-0138,6,5,4,2,33
2016-0139,1,6,2,2,35
2016-0140,7,2,2,1,20
2016-0142,1,2,1,1,46
2016-0143,1,0,1,1,35
2016-0144,3,2,3,1,83
2016-0145,1,1,1,1,39
2016-0146,3,2,3,2,29
2016-0147,8,2,2,1,55
2016-0148,1,6,1,1,3
2016-0150,5,5,2,1,41
2016-0152,1,1,1,1,42
2016-0153,3,6,3,2,83
2016-0154,1,6,1,1,38
2016-0155,3,1,3,2,29
2016-0156,1,2,1,1,23
2016-0157,1,6,1,1,23
2016-0159,2,0,1,1,23
2016-0160,5,4,1,1,29
2016-0161,3,2,3,1,50
2016-0162,3,1,3,1,38
2016-0163,1,1,1,1,23
2016-0164,2,1,1,1,29
2016-0165,6,2,4,1,37
2016-0168,1,1,1,1,43
2016-0169,1,2,1,1,24
2016-0170,1,1,2,1,21
2016-0171,1,6,1,1,39
2016-0172,1,5,1,1,38
2016-0173,1,5,1,1,35
2016-0174,0,0,1,1,3
2016-0175,3,9,3,2,65
2016-0176,1,2,1,1,28
2016-0177,3,1,3,2,27
2016-0178,3,7,3,2,7
2017-0001,1,5,1,1,18
2017-0003,5,5,2,1,33
2017-0007,3,7,3,1,48
2017-0008,1,2,1,1,29
2017-0009,1,5,1,1,36
2017-0010,1,1,1,1,23
2017-0011,1,4,2,2,29
2017-0012,1,5,1,1,30
2017-0013,3,5,3,1,4
2017-0014,1,7,2,2,22
2017-0015,3,1,3,1,82
2017-0016,1,5,1,1,27
2017-0017,1,1,1,1,32
2017-0018,1,1,1,1,30
2017-0021,1,2,1,1,43
2017-0024,3,2,3,1,39
2017-0025,1,0,1,1,23
2017-0026,2,4,2,2,23
2017-0026,2,4,1,1,19
2017-0027,3,1,3,1,61
2017-0028,3,1,3,1,87
2017-0029,0,1,1,1,34
2017-0030,2,2,1,2,27
2017-0031,2,4,2,1,70
2017-0032,2,1,2,2,40
2017-0033,2,1,1,1,28
2017-0034,3,1,3,1,43
2017-0035,2,4,1,1,28
2017-0035,2,4,2,1,32
2017-0035,2,4,2,1,30
2017-0036,1,2,2,2,22
2017-0036,1,2,1,1,20
2017-0037,1,5,1,1,41
2017-0038,1,1,1,2,40
2017-0040,2,7,1,1,43
2017-0041,1,1,1,1,17
2017-0042,1,5,1,1,34
2017-0045,1,4,1,1,21
2017-0047,1,1,1,1,37
2017-0049,3,2,3,1,22
2017-0050,1,5,1,1,46
2017-0050,1,5,2,1,16
2017-0051,2,1,1,1,33
2017-0052,3,5,3,2,47
2017-0053,1,5,1,1,28
2017-0054,1,1,2,2,20
2017-0055,2,1,1,1,32
2017-0058,3,6,3,1,80
2017-0059,3,2,3,2,39
2017-0060,1,4,2,1,30
2017-0061,3,6,3,1,47
2017-0062,1,5,1,1,35
2017-0063,3,2,3,2,79
2017-0064,5,1,2,1,61
2017-0065,6,5,4,1,21
2017-0066,3,2,3,1,10
2017-0067,1,5,1,1,21
2017-0068,1,4,1,1,32
2017-0069,1,0,1,1,39
2017-0070,3,1,3,1,80
2017-0072,2,1,1,1,25
2017-0073,1,1,1,1,19
2017-0074,0,0,1,1,70
2017-0075,3,6,3,1,55
2017-0076,3,5,3,2,30
2017-0077,1,5,1,2,60
2017-0079,1,5,1,1,33
2017-0080,3,5,3,2,95
2017-0082,3,1,3,1,36
2017-0083,1,5,1,1,37
2017-0084,3,2,3,2,73
2017-0085,3,2,3,1,84
